model,benchmark,n_matches,mean_log_loss_difference,ci_2_5,ci_97_5,n_month_blocks
Overall Elo,De-vigged market,10277,0.03823664890634336,0.03342234627396903,0.04312058857350259,46
Surface Elo,De-vigged market,10277,0.03528767280561085,0.030463112484423616,0.04006036433150431,46
Multi-timescale Elo,De-vigged market,10277,0.0386231078931977,0.034081396323024156,0.04358414537366559,46
No-skill 50%,De-vigged market,10277,0.10889358298620191,0.10163445609549358,0.11605404688589151,46
Market + Elo overlay,De-vigged market,10277,-5.749536644410088e-06,-0.0011798990358170157,0.0010893836724475252,46
