dynamics,tau,alpha,k_equivalent,tracking_mse,tracking_rmse,tracking_mse_sd,tracking_mse_se,n_games,n_replications
smooth,50,0.0025,0.43429448190325176,0.7815890672245543,0.8840752610635332,0.0004318759248428589,0.00013657115890951306,40000,10
smooth,50,0.003020783854286946,0.5247639035757029,0.7815689150847364,0.88406386369127,0.0004612242930164558,0.0001458519278132893,40000,10
smooth,50,0.003650054037728276,0.6340793308936296,0.7815078752467313,0.8840293407159806,0.0004940967114813419,0.00015624709926801087,40000,10
smooth,50,0.004410409721777782,0.7661666420402187,0.781381580693719,0.8839579066300154,0.0005359119302744237,0.00016947023249245242,40000,10
smooth,50,0.005329157791334604,0.9257695287873359,0.7811528549120998,0.8838285212144378,0.0005936762019223655,0.0001877368990712708,40000,10
smooth,50,0.006439293525204423,1.1186198581406475,0.7807658576426251,0.8836095617650508,0.0006750055278167351,0.00021345549011050267,40000,10
smooth,50,0.007780685565580791,1.3516435226224077,0.7801379593119879,0.8832541872598102,0.000787162428293103,0.00024892261619151735,40000,10
smooth,50,0.009401507732715982,1.633209171955721,0.7791482779691681,0.8826937622806497,0.000936749430311172,0.0002962261796648475,40000,10
smooth,50,0.011359969105976928,1.9734287589268786,0.777621474939485,0.8818284838558375,0.0011300976849454754,0.000357368266291108,40000,10
smooth,50,0.013726404504213443,2.3845206930207357,0.7753053380595417,0.8805142463694393,0.001373799333008931,0.0004344334940328362,40000,10
smooth,50,0.016585800441495827,2.881248643876062,0.7718410368846575,0.8785448405657263,0.001674859450970738,0.0005296370625726642,40000,10
smooth,50,0.020040847273638366,3.481451753442788,0.7667260655992097,0.8756289542946886,0.0020403211664944084,0.0006452062044373956,40000,10
smooth,50,0.024215627148174927,4.206685298511579,0.7592726634221176,0.8713625327165023,0.0024763967256941884,0.0007831054043376854,40000,10
smooth,50,0.029260070204255792,5.082994811924018,0.7485704241633222,0.8651996441072558,0.0029870039047602604,0.0009445735718859088,40000,10
smooth,50,0.03535533905932737,6.141851463713753,0.7334725648887448,0.8564301284335721,0.00357147740144461,0.0011294003200384504,40000,10
smooth,50,0.04272033495730271,7.421282294806062,0.7126410079859494,0.8441806725967785,0.004221385061739246,0.001334919167570653,40000,10
smooth,50,0.05161955923550008,8.96723589370229,0.6847004324684767,0.8274662727075205,0.004916876538303839,0.0015548528834884263,40000,10
smooth,50,0.06237261244160289,10.835232562111297,0.6485489156253836,0.80532534768588,0.005623784369889975,0.0017783967678507173,40000,10
smooth,50,0.07536567224531646,13.092358232427998,0.6038254882122047,0.7770620877460209,0.006293644684259579,0.0019902251986071537,40000,10
smooth,50,0.09106536235445348,15.819673745223703,0.5514279651270897,0.7425819585251784,0.006869280640214569,0.002172257270997767,40000,10
smooth,50,0.11003551051404936,19.115126011863556,0.4938504024305539,0.702744905659624,0.007297295758247389,0.0023076075355947193,40000,10
smooth,50,0.1329573974236247,23.09706561171913,0.43508342211706924,0.6596085370256128,0.007545024025911279,0.0023859460922572924,40000,10
smooth,50,0.16065422377811936,27.908497152514965,0.37998900768172716,0.6164324842849598,0.007615107583099012,0.0024081084589812826,40000,10
smooth,50,0.1941206741247779,33.722215038292155,0.33335849788715244,0.5773720619212125,0.00754988917737234,0.0023874845882351572,40000,10
smooth,50,0.23455863927177067,40.74700908738615,0.2990660565316576,0.5468693230851933,0.007422023317892819,0.0023470498531421254,40000,10
smooth,50,0.2834203801582724,49.235162864663835,0.2796714053651784,0.5288396783196004,0.007314431851209971,0.0023130264439905333,40000,10
smooth,50,0.3424606833431912,59.491514017905914,0.27656262783267954,0.5258922207379375,0.007297882548584302,0.0023077930949920813,40000,10
smooth,50,0.4137998811884742,71.88440200495022,0.290475401710646,0.5389576993704107,0.007416128086902165,0.002345185617415798,40000,10
smooth,50,0.5,86.85889638065036,0.32213882292777984,0.5675727468155777,0.007685471439705238,0.0024303594641641984,40000,10
smooth,100,0.0025,0.43429448190325176,0.780596147464876,0.8835135242116422,0.0010733022984344607,0.00033940798809466697,40000,10
smooth,100,0.003020783854286946,0.5247639035757029,0.7801452139041773,0.8832582939911616,0.0012674444124810395,0.00040080111510940275,40000,10
smooth,100,0.003650054037728276,0.6340793308936296,0.7794646402543111,0.8828729468356764,0.0015002498883322603,0.0004744206706543212,40000,10
smooth,100,0.004410409721777782,0.7661666420402187,0.7784447248435524,0.882295146106762,0.0017789411669823316,0.0005625505911102094,40000,10
smooth,100,0.005329157791334604,0.9257695287873359,0.7769255455524217,0.8814338010040355,0.0021117878119500328,0.000667805942074545,40000,10
smooth,100,0.006439293525204423,1.1186198581406475,0.7746762500799017,0.8801569462771408,0.002508480657634864,0.0007932512344603215,40000,10
smooth,100,0.007780685565580791,1.3516435226224077,0.7713673366144764,0.8782752055104803,0.002980239765249404,0.0009424345631593645,40000,10
smooth,100,0.009401507732715982,1.633209171955721,0.7665350566558199,0.8755198779330027,0.003539377079917783,0.0011192493070735997,40000,10
smooth,100,0.011359969105976928,1.9734287589268786,0.7595391868526559,0.8715154541674266,0.004198080331027201,0.0013275495646399593,40000,10
smooth,100,0.013726404504213443,2.3845206930207357,0.7495201664952595,0.8657483274573851,0.0049661798616798345,0.001570443963296823,40000,10
smooth,100,0.016585800441495827,2.881248643876062,0.735370546210139,0.857537489682019,0.005847627375781551,0.0018491821415423041,40000,10
smooth,100,0.020040847273638366,3.481451753442788,0.7157498162210716,0.8460199857101909,0.0068354587475149935,0.002161561849426919,40000,10
smooth,100,0.024215627148174927,4.206685298511579,0.6891880985733808,0.8301735352162106,0.00790537879625481,0.002499900276256538,40000,10
smooth,100,0.029260070204255792,5.082994811924018,0.6543307209082918,0.8089071151302181,0.009009193878810662,0.002848957253908866,40000,10
smooth,100,0.03535533905932737,6.141851463713753,0.6103479909651698,0.7812477142143648,0.010071208047175071,0.0031847956218489736,40000,10
smooth,100,0.04272033495730271,7.421282294806062,0.5574489605352253,0.7466250468174941,0.010992302532859911,0.003476071273347519,40000,10
smooth,100,0.05161955923550008,8.96723589370229,0.49731102316144876,0.7052028241303694,0.011665362902987237,0.003688911650587349,40000,10
smooth,100,0.06237261244160289,10.835232562111297,0.433160518375581,0.658149313131588,0.012000370916660862,0.0037948504863490975,40000,10
smooth,100,0.07536567224531646,13.092358232427998,0.36933196831998416,0.607726886290202,0.011950275926658635,0.0037790090595720576,40000,10
smooth,100,0.09106536235445348,15.819673745223703,0.31039938335662265,0.5571349776819102,0.011525953400286722,0.003644826494986847,40000,10
smooth,100,0.11003551051404936,19.115126011863556,0.26023376534733667,0.5101311256405913,0.010793899512545878,0.003413330729462619,40000,10
smooth,100,0.1329573974236247,23.09706561171913,0.22138481983780228,0.470515483101037,0.009860080691455858,0.0031180312898048445,40000,10
smooth,100,0.16065422377811936,27.908497152514965,0.19498194354648196,0.4415675979354486,0.008849945724520808,0.002798598565835481,40000,10
smooth,100,0.1941206741247779,33.722215038292155,0.18107186938209957,0.425525403920964,0.007893628768514746,0.0024961845912336617,40000,10
smooth,100,0.23455863927177067,40.74700908738615,0.17915314281276426,0.42326486130172,0.007117914301639678,0.002250882138306816,40000,10
smooth,100,0.2834203801582724,49.235162864663835,0.18868658446837408,0.4343806907176861,0.006636826723668981,0.0020987488882666916,40000,10
smooth,100,0.3424606833431912,59.491514017905914,0.20947572173817114,0.45768517753819726,0.006529547502006461,0.0020648242196603275,40000,10
smooth,100,0.4137998811884742,71.88440200495022,0.24191846592015728,0.49185207727543173,0.006812410334720916,0.0021542733013388145,40000,10
smooth,100,0.5,86.85889638065036,0.2871853101294991,0.5358967345762606,0.007435452749302208,0.002351296612235593,40000,10
smooth,200,0.0025,0.43429448190325176,0.777458254388253,0.8817359323449697,0.0015153619808581495,0.0004791995339136229,40000,10
smooth,200,0.003020783854286946,0.5247639035757029,0.7754472864450646,0.880594848068659,0.0018141996756916457,0.000573700310552441,40000,10
smooth,200,0.003650054037728276,0.6340793308936296,0.7724845491383358,0.8789110018302967,0.0021687542874602923,0.0006858203233630073,40000,10
smooth,200,0.004410409721777782,0.7661666420402187,0.7681527148434096,0.8764432182653988,0.002588397115041299,0.0008185230372539383,40000,10
smooth,200,0.005329157791334604,0.9257695287873359,0.7618697427839034,0.8728515009919519,0.003082351407444715,0.0009747250996550983,40000,10
smooth,200,0.006439293525204423,1.1186198581406475,0.7528433415841772,0.8676654548754245,0.0036583673358862247,0.0011568773298962717,40000,10
smooth,200,0.007780685565580791,1.3516435226224077,0.7400329374356172,0.8602516709868206,0.0043206897230266186,0.0013663220587646178,40000,10
smooth,200,0.009401507732715982,1.633209171955721,0.7221426927423216,0.8497897932679126,0.005066971378937395,0.0016023170396326292,40000,10
smooth,200,0.011359969105976928,1.9734287589268786,0.6976855195908053,0.8352757147138933,0.005883946285663637,0.0018606671892784832,40000,10
smooth,200,0.013726404504213443,2.3845206930207357,0.6651703032580046,0.8155797344576462,0.006742378829956399,0.0021321273950363337,40000,10
smooth,200,0.016585800441495827,2.881248643876062,0.6234525103805303,0.789590090097723,0.007593177033990859,0.0024011734104292886,40000,10
smooth,200,0.020040847273638366,3.481451753442788,0.5722248752967223,0.7564554681517758,0.008368006190603572,0.0026461959036696374,40000,10
smooth,200,0.024215627148174927,4.206685298511579,0.5125063060797808,0.7158954575074358,0.008987733636277896,0.0028421709293545505,40000,10
smooth,200,0.029260070204255792,5.082994811924018,0.44687787299961224,0.6684892467344649,0.009379079383330892,0.00296592532068531,40000,10
smooth,200,0.03535533905932737,6.141851463713753,0.3792367518708398,0.6158220131424662,0.009494639835567724,0.0030024687443360584,40000,10
smooth,200,0.04272033495730271,7.421282294806062,0.31405319608200377,0.5604044932742811,0.009327725646798814,0.0029496858433051536,40000,10
smooth,200,0.05161955923550008,8.96723589370229,0.25540364504481317,0.5053747570316638,0.00891484838272585,0.0028191225884482162,40000,10
smooth,200,0.06237261244160289,10.835232562111297,0.20619025501614163,0.4540817712881036,0.008324693918465785,0.0026324993606103918,40000,10
smooth,200,0.07536567224531646,13.092358232427998,0.16783374829432712,0.40967517412497323,0.00763887914967683,0.0024156256883749064,40000,10
smooth,200,0.09106536235445348,15.819673745223703,0.14045291491986814,0.3747704829890798,0.006932852951026808,0.0021923606008264498,40000,10
smooth,200,0.11003551051404936,19.115126011863556,0.12332832134773519,0.3511813226066204,0.006264031070921037,0.0019808605518174204,40000,10
smooth,200,0.1329573974236247,23.09706561171913,0.11540511504599069,0.3397132835877789,0.005670308021909548,0.0017931088383958114,40000,10
smooth,200,0.16065422377811936,27.908497152514965,0.1156808894630944,0.3401189342907778,0.005177604351289402,0.0016373022573273068,40000,10
