k_factor,n_samples,mean_error,variance,variance_over_k,skewness,excess_kurtosis
2.0,8000,-2.701453556813967,168.0795085105793,84.03975425528965,0.10206155227154645,0.11681898891572384
4.0,8000,-2.693651859945643,346.72114254290204,86.68028563572551,0.0657672906541833,0.0974082737789348
8.0,8000,-2.664569043518509,702.1548021112477,87.76935026390596,0.025316447617571954,-0.027484859087903768
16.0,8000,-2.5978614656841987,1410.2285042461863,88.13928151538664,0.016930676658667765,-0.07603718260550263
32.0,8000,-2.463930153003646,2870.609634775666,89.70655108673957,0.02047550643989379,-0.03299557357899552
