statistic,value
eligible games,4073
unique players,1666
draw rate,3.511%
median games per player,3.0
90th percentile games per player,11.0
first game (UTC),2025-09-18T18:00:02.352000+00:00
last game (UTC),2025-09-18T19:57:38.183000+00:00
