year,n_matches,overall_log_loss,surface_log_loss,surface_minus_overall
2022,2547,0.6161687216873383,0.6122307111563112,-0.0039380105310270475
2023,2616,0.6306637895501197,0.6265424610251047,-0.004121328525015011
2024,2634,0.6205025226746652,0.6170106101230578,-0.0034919125516074123
2025,2490,0.6223858284587799,0.6222127056145859,-0.00017312284419401802
