dynamics,fitted_slope,mc_ci_2_5,mc_ci_97_5,mc_standard_error,theoretical_slope,r_squared,n_tau_values,n_replications,n_mc_resamples,interval_type
smooth,-0.6070873846847711,-0.6126823069861607,-0.6017024232837808,0.002836492026279983,-0.6666666666666666,0.9991035045167265,5,10,2000,replication-bootstrap Monte Carlo uncertainty
ou,-0.41092203644328856,-0.42232374676449413,-0.4000792801849317,0.005753050684690441,-0.5,0.9975510302521028,5,10,2000,replication-bootstrap Monte Carlo uncertainty
jump,-0.3985861475144831,-0.4258734571395025,-0.37125167764986167,0.013940416898548786,,0.9968920726497553,5,10,2000,replication-bootstrap Monte Carlo uncertainty
